#語	出現回数	TF	IDF	TF-IDF	
流	19	0.040169133192389	2.5228787452803374	0.10134185234741312
音楽	23	0.048625792811839326	1.9208187539523753	0.09340133475878358
琉球	13	0.02748414376321353	3.0	0.08245243128964058
古典	12	0.02536997885835095	2.3979400086720375	0.060835687323603484
冨	9	0.019027484143763214	3.0	0.05708245243128964
野村	9	0.019027484143763214	2.5228787452803374	0.04800403532245885
祖	9	0.019027484143763214	2.5228787452803374	0.04800403532245885
節	10	0.021141649048625793	2.045757490560675	0.04325068690403118
工	8	0.016913319238900635	2.5228787452803374	0.042670253619963426
湛	7	0.014799154334038054	2.6989700043360187	0.039942473637108095
設立	8	0.016913319238900635	2.0	0.03382663847780127
沖縄	7	0.014799154334038054	2.221848749616356	0.03288148255246193
水流	5	0.010570824524312896	3.0	0.03171247357293869
年	12	0.02536997885835095	1.0409586076789064	0.026409097869232297
流派	4	0.008456659619450317	3.0	0.025369978858350954
曲	6	0.012684989429175475	1.9208187539523753	0.02436556558924789
文化財	5	0.010570824524312896	2.3010299956639813	0.024323784309344412
無形	4	0.008456659619450317	2.6989700043360187	0.022824270649776057
編集	10	0.021141649048625793	1.0177287669604316	0.02151646441776811
会	6	0.012684989429175475	1.619788758288394	0.020547003276385548
認定	4	0.008456659619450317	2.3979400086720375	0.020278562441201162
安	4	0.008456659619450317	2.3979400086720375	0.020278562441201162
作田	3	0.006342494714587738	3.0	0.019027484143763214
喜名	3	0.006342494714587738	3.0	0.019027484143763214
楽曲	4	0.008456659619450317	2.221848749616356	0.01878941860140682
朝	4	0.008456659619450317	2.154901959985743	0.018223272388885776
指定	4	0.008456659619450317	2.0969100130080562	0.017732854232626268
よう	6	0.012684989429175475	1.3767507096020997	0.01746406819791247
四	4	0.008456659619450317	2.045757490560675	0.017300274761612472
国宝	3	0.006342494714587738	2.6989700043360187	0.01711820298733204
楽譜	3	0.006342494714587738	2.6989700043360187	0.01711820298733204
特徴	4	0.008456659619450317	2.0	0.016913319238900635
照	3	0.006342494714587738	2.3979400086720375	0.015208921830900871
県	5	0.010570824524312896	1.431798275933005	0.015135288329101533
伝統	3	0.006342494714587738	2.3010299956639813	0.014594270585606646
保存	3	0.006342494714587738	2.154901959985743	0.013667454291664332
主	4	0.008456659619450317	1.6020599913279625	0.013548076036600106
人間	3	0.006342494714587738	2.0969100130080562	0.0132996406744697
弟子	2	0.004228329809725159	3.0	0.012684989429175477
深山	2	0.004228329809725159	3.0	0.012684989429175477
知念	2	0.004228329809725159	3.0	0.012684989429175477
作法	2	0.004228329809725159	3.0	0.012684989429175477
幽谷	2	0.004228329809725159	3.0	0.012684989429175477
親方	2	0.004228329809725159	3.0	0.012684989429175477
協会	3	0.006342494714587738	2.0	0.012684989429175475
線	3	0.006342494714587738	1.6989700043360187	0.010775708272744305
来歴	2	0.004228329809725159	2.5228787452803374	0.010667563404990857
昭和	3	0.006342494714587738	1.6777807052660807	0.010641315255387404
三	3	0.006342494714587738	1.6020599913279625	0.01016105702745008
声	2	0.004228329809725159	2.221848749616356	0.00939470930070341
歌	2	0.004228329809725159	2.154901959985743	0.009111636194442888
世	2	0.004228329809725159	2.0969100130080562	0.008866427116313134
水	2	0.004228329809725159	1.8239087409443187	0.007712087699553145
者	3	0.006342494714587738	1.1870866433571445	0.007529090761250388
日	3	0.006342494714587738	1.1804560644581312	0.007487036349628739
項目	3	0.006342494714587738	1.1426675035687315	0.007247362601915845
文献	2	0.004228329809725159	1.6989700043360187	0.00718380551516287
月	3	0.006342494714587738	1.1307682802690238	0.007171891841029749
関連	3	0.006342494714587738	1.1191864077192086	0.007098433875597518
参考	2	0.004228329809725159	1.6777807052660807	0.007094210170258269
概要	2	0.004228329809725159	1.638272163982407	0.006927155027409755
封	1	0.0021141649048625794	3.0	0.0063424947145877385
諸鈍	1	0.0021141649048625794	3.0	0.0063424947145877385
新里	1	0.0021141649048625794	3.0	0.0063424947145877385
模	1	0.0021141649048625794	3.0	0.0063424947145877385
当流	1	0.0021141649048625794	3.0	0.0063424947145877385
遇	1	0.0021141649048625794	3.0	0.0063424947145877385
士族	1	0.0021141649048625794	3.0	0.0063424947145877385
師匠	1	0.0021141649048625794	3.0	0.0063424947145877385
瑞	1	0.0021141649048625794	3.0	0.0063424947145877385
島袋	1	0.0021141649048625794	3.0	0.0063424947145877385
ぢ	1	0.0021141649048625794	3.0	0.0063424947145877385
暁	1	0.0021141649048625794	3.0	0.0063424947145877385
読み方	1	0.0021141649048625794	3.0	0.0063424947145877385
朝一	1	0.0021141649048625794	3.0	0.0063424947145877385
考え	1	0.0021141649048625794	3.0	0.0063424947145877385
誘い	1	0.0021141649048625794	3.0	0.0063424947145877385
保持	1	0.0021141649048625794	3.0	0.0063424947145877385
発刊	1	0.0021141649048625794	3.0	0.0063424947145877385
口承	1	0.0021141649048625794	3.0	0.0063424947145877385
