#語	出現回数	TF	IDF	TF-IDF	
佐多岬	25	0.04159733777038269	2.6989700043360187	0.11226996690249662
料金	14	0.02329450915141431	2.6989700043360187	0.06287118146539811
道路	16	0.026622296173044926	2.154901959985743	0.05736843820261546
ロード	11	0.018302828618968387	2.6989700043360187	0.04939878543709852
パーク	11	0.018302828618968387	2.5228787452803374	0.04617581730130402
町	15	0.024958402662229616	1.7958800173440752	0.044822296605925335
鹿児島	12	0.019966722129783693	2.154901959985743	0.04302632865196159
大隅	8	0.013311148086522463	3.0	0.03993344425956739
岩崎	8	0.013311148086522463	3.0	0.03993344425956739
年	19	0.03161397670549085	1.0409586076789064	0.03290884117454113
南	10	0.016638935108153077	1.9208187539523753	0.031960378601537026
所	11	0.018302828618968387	1.6989700043360187	0.031095956818130127
入園	6	0.009983361064891847	3.0	0.029950083194675542
円	8	0.013311148086522463	2.154901959985743	0.02868421910130773
無料	6	0.009983361064891847	2.5228787452803374	0.025186809437074915
料	6	0.009983361064891847	2.3979400086720375	0.023939500918522837
通行	5	0.008319467554076539	2.5228787452803374	0.020989007864229095
観光	6	0.009983361064891847	2.0969100130080562	0.020934209780446484
月	11	0.018302828618968387	1.1307682802690238	0.020696258041529553
展望	5	0.008319467554076539	2.3979400086720375	0.01994958409876903
集落	4	0.0066555740432612314	2.6989700043360187	0.01796319470439946
朝日新聞	4	0.0066555740432612314	2.6989700043360187	0.01796319470439946
グループ	5	0.008319467554076539	2.154901959985743	0.01792763693831733
公園	5	0.008319467554076539	2.154901959985743	0.01792763693831733
県	7	0.011647254575707155	1.431798275933005	0.01667651902085031
先	4	0.0066555740432612314	2.3979400086720375	0.015959667279015224
日	8	0.013311148086522463	1.1804560644581312	0.01571322548363569
道	5	0.008319467554076539	1.8860566476931633	0.015690987085633636
台	5	0.008319467554076539	1.8860566476931633	0.015690987085633636
徴収	3	0.004991680532445923	3.0	0.014975041597337771
田尻	3	0.004991680532445923	3.0	0.014975041597337771
佐多	3	0.004991680532445923	3.0	0.014975041597337771
途中	4	0.0066555740432612314	2.221848749616356	0.014787678865999044
線	5	0.008319467554076539	1.6989700043360187	0.014134525826422785
編集	8	0.013311148086522463	1.0177287669604316	0.013547138328924214
駐車	3	0.004991680532445923	2.6989700043360187	0.013472396028299595
号	5	0.008319467554076539	1.5228787452803376	0.012669540310152558
休止	3	0.004991680532445923	2.5228787452803374	0.012593404718537458
面	4	0.0066555740432612314	1.8239087409443187	0.01213915967350628
開通	3	0.004991680532445923	2.3979400086720375	0.011969750459261418
万	4	0.0066555740432612314	1.7695510786217261	0.011777378227099676
版	4	0.0066555740432612314	1.7212463990471711	0.011455882855555216
場	4	0.0066555740432612314	1.6989700043360187	0.011307620661138228
必要	4	0.0066555740432612314	1.638272163982407	0.010903641690398716
付近	3	0.004991680532445923	2.045757490560675	0.010211767839737144
自動車	3	0.004991680532445923	2.0	0.009983361064891847
車線	2	0.0033277870216306157	3.0	0.009983361064891847
大泊	2	0.0033277870216306157	3.0	0.009983361064891847
投資	2	0.0033277870216306157	3.0	0.009983361064891847
遊歩道	2	0.0033277870216306157	3.0	0.009983361064891847
年間	3	0.004991680532445923	1.958607314841775	0.009776742004201873
側	3	0.004991680532445923	1.8860566476931633	0.009414592251380183
頃	3	0.004991680532445923	1.8239087409443187	0.00910436975512971
今後	2	0.0033277870216306157	2.6989700043360187	0.00898159735219973
株式会社	2	0.0033277870216306157	2.6989700043360187	0.00898159735219973
移管	2	0.0033277870216306157	2.6989700043360187	0.00898159735219973
ここ	3	0.004991680532445923	1.7958800173440752	0.008964459321185067
運輸	2	0.0033277870216306157	2.5228787452803374	0.008395603145691639
新聞	2	0.0033277870216306157	2.5228787452803374	0.008395603145691639
譲渡	2	0.0033277870216306157	2.5228787452803374	0.008395603145691639
終点	2	0.0033277870216306157	2.5228787452803374	0.008395603145691639
申請	2	0.0033277870216306157	2.5228787452803374	0.008395603145691639
大人	2	0.0033277870216306157	2.3979400086720375	0.007979833639507612
開放	2	0.0033277870216306157	2.3979400086720375	0.007979833639507612
歴史	3	0.004991680532445923	1.5686362358410126	0.007830130960936835
地	3	0.004991680532445923	1.537602002101044	0.007675217980537657
その後	3	0.004991680532445923	1.537602002101044	0.007675217980537657
発着	2	0.0033277870216306157	2.3010299956639813	0.007657337755953349
トンネル	2	0.0033277870216306157	2.3010299956639813	0.007657337755953349
区間	2	0.0033277870216306157	2.3010299956639813	0.007657337755953349
地元	2	0.0033277870216306157	2.221848749616356	0.007393839432999522
徒歩	2	0.0033277870216306157	2.221848749616356	0.007393839432999522
九州	2	0.0033277870216306157	2.221848749616356	0.007393839432999522
減少	2	0.0033277870216306157	2.154901959985743	0.0071710547753269325
車	2	0.0033277870216306157	2.0969100130080562	0.006978069926815495
建設	2	0.0033277870216306157	2.045757490560675	0.0068078452264914305
写真	2	0.0033277870216306157	2.045757490560675	0.0068078452264914305
状態	2	0.0033277870216306157	2.045757490560675	0.0068078452264914305
子供	2	0.0033277870216306157	2.0	0.0066555740432612314
開発	2	0.0033277870216306157	2.0	0.0066555740432612314
管理	2	0.0033277870216306157	1.958607314841775	0.006517828002801249
人	3	0.004991680532445923	1.2596373105057561	0.006287707040794123
以上	2	0.0033277870216306157	1.8860566476931633	0.006276394834253456
生活	2	0.0033277870216306157	1.853871964321762	0.006169291062634815
その他	2	0.0033277870216306157	1.7695510786217261	0.005888689113549838
施設	2	0.0033277870216306157	1.7212463990471711	0.005727941427777608
局	2	0.0033277870216306157	1.7212463990471711	0.005727941427777608
文献	2	0.0033277870216306157	1.6989700043360187	0.005653810330569114
可能	2	0.0033277870216306157	1.6989700043360187	0.005653810330569114
参考	2	0.0033277870216306157	1.6777807052660807	0.005583296856126725
一覧	2	0.0033277870216306157	1.6575773191777938	0.005516064290109131
概要	2	0.0033277870216306157	1.638272163982407	0.005451820845199358
一部	2	0.0033277870216306157	1.638272163982407	0.005451820845199358
内	2	0.0033277870216306157	1.619788758288394	0.005390312007615288
利用	2	0.0033277870216306157	1.6020599913279625	0.005331314447014851
脚注	2	0.0033277870216306157	1.6020599913279625	0.005331314447014851
時間	2	0.0033277870216306157	1.585026652029182	0.005274631121561338
化	2	0.0033277870216306157	1.537602002101044	0.005116811987025105
いわさき	1	0.0016638935108153079	3.0	0.004991680532445923
無償	1	0.0016638935108153079	3.0	0.004991680532445923
委譲	1	0.0016638935108153079	3.0	0.004991680532445923
会合	1	0.0016638935108153079	3.0	0.004991680532445923
レストハウス	1	0.0016638935108153079	3.0	0.004991680532445923
水洗トイレ	1	0.0016638935108153079	3.0	0.004991680532445923
当面	1	0.0016638935108153079	3.0	0.004991680532445923
休業	1	0.0016638935108153079	3.0	0.004991680532445923
多額	1	0.0016638935108153079	3.0	0.004991680532445923
補修	1	0.0016638935108153079	3.0	0.004991680532445923
善後	1	0.0016638935108153079	3.0	0.004991680532445923
渕上	1	0.0016638935108153079	3.0	0.004991680532445923
海水浴	1	0.0016638935108153079	3.0	0.004991680532445923
変動	1	0.0016638935108153079	3.0	0.004991680532445923
最南端	1	0.0016638935108153079	3.0	0.004991680532445923
開園	1	0.0016638935108153079	3.0	0.004991680532445923
ギャラリー	1	0.0016638935108153079	3.0	0.004991680532445923
到着	1	0.0016638935108153079	3.0	0.004991680532445923
千尋	1	0.0016638935108153079	3.0	0.004991680532445923
野田	1	0.0016638935108153079	3.0	0.004991680532445923
路面	1	0.0016638935108153079	3.0	0.004991680532445923
連休	1	0.0016638935108153079	3.0	0.004991680532445923
税込	1	0.0016638935108153079	3.0	0.004991680532445923
私有	1	0.0016638935108153079	3.0	0.004991680532445923
工費	1	0.0016638935108153079	3.0	0.004991680532445923
御崎	1	0.0016638935108153079	3.0	0.004991680532445923
