#語	出現回数	TF	IDF	TF-IDF	
ドラマ	16	0.03131115459882583	2.3979400086720375	0.07508227033023991
実写	9	0.01761252446183953	2.6989700043360187	0.04753567522313927
景品	8	0.015655577299412915	3.0	0.046966731898238745
尾	6	0.011741682974559686	3.0	0.03522504892367906
役	7	0.0136986301369863	2.3979400086720375	0.032848493269479966
店長	5	0.009784735812133072	3.0	0.029354207436399216
美	6	0.011741682974559686	2.3979400086720375	0.02815585137383997
年	13	0.025440313111545987	1.0409586076789064	0.026482312915510335
回	7	0.0136986301369863	1.8860566476931633	0.02583639243415292
配信	5	0.009784735812133072	2.5228787452803374	0.024685702008613867
アニメ	5	0.009784735812133072	2.3010299956639813	0.022514970603365766
部門	5	0.009784735812133072	2.221848749616356	0.02174020302951425
ポイント	4	0.007827788649706457	2.6989700043360187	0.021126966765839677
月	9	0.01761252446183953	1.1307682802690238	0.019915683996910398
紘	3	0.005870841487279843	3.0	0.01761252446183953
下野	3	0.005870841487279843	3.0	0.01761252446183953
交換	4	0.007827788649706457	2.221848749616356	0.0173921624236114
キャラクター	4	0.007827788649706457	2.045757490560675	0.016013757264662816
編集	8	0.015655577299412915	1.0177287669604316	0.01593313138098523
蓮	3	0.005870841487279843	2.6989700043360187	0.015845225074379757
性格	3	0.005870841487279843	2.6989700043360187	0.015845225074379757
まつり	3	0.005870841487279843	2.6989700043360187	0.015845225074379757
ラジオ	4	0.007827788649706457	2.0	0.015655577299412915
担当	4	0.007827788649706457	1.853871964321762	0.014511717920326904
派遣	3	0.005870841487279843	2.3979400086720375	0.014077925686919984
中	5	0.009784735812133072	1.3665315444204136	0.013371150141099936
現在	5	0.009784735812133072	1.3467874862246563	0.01317795974779507
客	3	0.005870841487279843	2.154901959985743	0.012651087827704948
配布	2	0.003913894324853229	3.0	0.011741682974559686
桃水	2	0.003913894324853229	3.0	0.011741682974559686
芳人	2	0.003913894324853229	3.0	0.011741682974559686
接客	2	0.003913894324853229	3.0	0.011741682974559686
背	2	0.003913894324853229	3.0	0.011741682974559686
津	2	0.003913894324853229	3.0	0.011741682974559686
優	2	0.003913894324853229	3.0	0.011741682974559686
口調	2	0.003913894324853229	3.0	0.011741682974559686
平川	2	0.003913894324853229	3.0	0.011741682974559686
頼り	2	0.003913894324853229	3.0	0.011741682974559686
高城	2	0.003913894324853229	3.0	0.011741682974559686
通称	3	0.005870841487279843	1.958607314841775	0.011498673081262867
為	3	0.005870841487279843	1.9208187539523753	0.011276822430248778
事	3	0.005870841487279843	1.8239087409443187	0.01070787910534825
樹	2	0.003913894324853229	2.6989700043360187	0.010563483382919838
虎	2	0.003913894324853229	2.6989700043360187	0.010563483382919838
講師	2	0.003913894324853229	2.6989700043360187	0.010563483382919838
大輔	2	0.003913894324853229	2.6989700043360187	0.010563483382919838
見た目	2	0.003913894324853229	2.6989700043360187	0.010563483382919838
登場	3	0.005870841487279843	1.7958800173440752	0.010543326912000441
編	4	0.007827788649706457	1.3279021420642825	0.010394537315571682
版	3	0.005870841487279843	1.7212463990471711	0.010105164769357168
生	2	0.003913894324853229	2.5228787452803374	0.009874280803445547
パーソナリティ	2	0.003913894324853229	2.5228787452803374	0.009874280803445547
概要	3	0.005870841487279843	1.638272163982407	0.009618036187763641
月刊	2	0.003913894324853229	2.3979400086720375	0.009385283791279989
インターネット	2	0.003913894324853229	2.3979400086720375	0.009385283791279989
元気	2	0.003913894324853229	2.3979400086720375	0.009385283791279989
キャスト	2	0.003913894324853229	2.3979400086720375	0.009385283791279989
日	4	0.007827788649706457	1.1804560644581312	0.009240360582842513
前述	2	0.003913894324853229	2.3010299956639813	0.009005988241346305
自分	2	0.003913894324853229	2.3010299956639813	0.009005988241346305
関連	4	0.007827788649706457	1.1191864077192086	0.008760754659250166
オリジナル	2	0.003913894324853229	2.221848749616356	0.0086960812118057
