#語	出現回数	TF	IDF	TF-IDF	
三角	13	0.043333333333333335	2.6989700043360187	0.11695536685456082
給食	11	0.03666666666666667	2.6989700043360187	0.0989622334923207
指導	8	0.02666666666666667	2.3010299956639813	0.06136079988437284
牛乳	6	0.02	3.0	0.06
学校	10	0.03333333333333333	1.7695510786217261	0.05898503595405754
和食	5	0.016666666666666666	3.0	0.05
教育	6	0.02	1.8860566476931633	0.037721132953863264
是非	3	0.01	3.0	0.03
ご飯	3	0.01	3.0	0.03
パン	3	0.01	3.0	0.03
生徒	3	0.01	3.0	0.03
食	3	0.01	2.3979400086720375	0.023979400086720375
児童	3	0.01	2.3010299956639813	0.023010299956639814
よう	5	0.016666666666666666	1.3767507096020997	0.022945845160034995
ため	5	0.016666666666666666	1.2291479883578558	0.020485799805964263
方	3	0.01	2.045757490560675	0.02045757490560675
唾液	2	0.006666666666666667	3.0	0.02
汁	2	0.006666666666666667	3.0	0.02
味噌汁	2	0.006666666666666667	3.0	0.02
分泌	2	0.006666666666666667	3.0	0.02
食事	2	0.006666666666666667	3.0	0.02
米飯	2	0.006666666666666667	3.0	0.02
逸脱	2	0.006666666666666667	3.0	0.02
嫌い	2	0.006666666666666667	3.0	0.02
日本	5	0.016666666666666666	1.1870866433571445	0.019784777389285742
管理	3	0.01	1.958607314841775	0.019586073148417753
そのもの	2	0.006666666666666667	2.6989700043360187	0.017993133362240125
おかず	2	0.006666666666666667	2.6989700043360187	0.017993133362240125
角	2	0.006666666666666667	2.6989700043360187	0.017993133362240125
摂取	2	0.006666666666666667	2.6989700043360187	0.017993133362240125
習慣	2	0.006666666666666667	2.6989700043360187	0.017993133362240125
千葉	2	0.006666666666666667	2.5228787452803374	0.01681919163520225
当時	3	0.01	1.6575773191777938	0.01657577319177794
年代	3	0.01	1.6575773191777938	0.01657577319177794
世代	2	0.006666666666666667	2.3979400086720375	0.015986266724480253
概念	2	0.006666666666666667	2.3979400086720375	0.015986266724480253
口	2	0.006666666666666667	2.3010299956639813	0.01534019997109321
本来	2	0.006666666666666667	2.221848749616356	0.014812324997442375
一	3	0.01	1.3665315444204136	0.013665315444204136
編集	4	0.013333333333333334	1.0177287669604316	0.013569716892805755
問題	2	0.006666666666666667	1.8239087409443187	0.012159391606295459
以外	2	0.006666666666666667	1.8239087409443187	0.012159391606295459
他	2	0.006666666666666667	1.638272163982407	0.010921814426549381
一部	2	0.006666666666666667	1.638272163982407	0.010921814426549381
三	2	0.006666666666666667	1.6020599913279625	0.010680399942186418
脚注	2	0.006666666666666667	1.6020599913279625	0.010680399942186418
年	3	0.01	1.0409586076789064	0.010409586076789063
上	2	0.006666666666666667	1.5228787452803376	0.010152524968535585
口内	1	0.0033333333333333335	3.0	0.01
該当	1	0.0033333333333333335	3.0	0.01
咀嚼	1	0.0033333333333333335	3.0	0.01
洋食	1	0.0033333333333333335	3.0	0.01
モラル	1	0.0033333333333333335	3.0	0.01
余剰	1	0.0033333333333333335	3.0	0.01
食卓	1	0.0033333333333333335	3.0	0.01
一方向	1	0.0033333333333333335	3.0	0.01
順序	1	0.0033333333333333335	3.0	0.01
触れ込み	1	0.0033333333333333335	3.0	0.01
体罰	1	0.0033333333333333335	3.0	0.01
取り合わせ	1	0.0033333333333333335	3.0	0.01
飲み物	1	0.0033333333333333335	3.0	0.01
マウス	1	0.0033333333333333335	3.0	0.01
ハラスメント	1	0.0033333333333333335	3.0	0.01
濫用	1	0.0033333333333333335	3.0	0.01
職権	1	0.0033333333333333335	3.0	0.01
カロリー	1	0.0033333333333333335	3.0	0.01
三角形	1	0.0033333333333333335	3.0	0.01
育	1	0.0033333333333333335	3.0	0.01
メニュー	1	0.0033333333333333335	3.0	0.01
栄養士	1	0.0033333333333333335	3.0	0.01
一郎	1	0.0033333333333333335	3.0	0.01
促進	1	0.0033333333333333335	3.0	0.01
ドライ	1	0.0033333333333333335	3.0	0.01
口腔	1	0.0033333333333333335	3.0	0.01
農政	1	0.0033333333333333335	3.0	0.01
菜	1	0.0033333333333333335	3.0	0.01
エスカレート	1	0.0033333333333333335	3.0	0.01
おろそか	1	0.0033333333333333335	3.0	0.01
県	2	0.006666666666666667	1.431798275933005	0.009545321839553367
中	2	0.006666666666666667	1.3665315444204136	0.009110210296136092
極端	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
乾燥	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
評論	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
茶	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
医	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
実践	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
消費	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
固有	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
所要	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
歯科	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
水分	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
調味	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
公務員	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
趣旨	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
具体	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
推奨	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
言及	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
弊害	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
刑法	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
飯	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
親子	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
教師	1	0.0033333333333333335	2.6989700043360187	0.008996566681120062
現在	2	0.006666666666666667	1.3467874862246563	0.008978583241497709
もの	2	0.006666666666666667	1.3279021420642825	0.008852680947095216
的	2	0.006666666666666667	1.2924298239020637	0.00861619882601376
斎藤	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
違法	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
あなた	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
主流	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
供	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
家庭	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
飲料	1	0.0033333333333333335	2.5228787452803374	0.008409595817601125
導入	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
監視	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
罪	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
生まれ	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
教員	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
手段	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
症	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
行為	1	0.0033333333333333335	2.3979400086720375	0.007993133362240126
主張	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
条	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
東日本	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
わけ	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
不明	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
一方	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
異常	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
強制	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
現場	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
伝統	1	0.0033333333333333335	2.3010299956639813	0.007670099985546605
項目	2	0.006666666666666667	1.1426675035687315	0.007617783357124877
月	2	0.006666666666666667	1.1307682802690238	0.007538455201793492
関連	2	0.006666666666666667	1.1191864077192086	0.007461242718128058
範囲	1	0.0033333333333333335	2.221848749616356	0.007406162498721188
まま	1	0.0033333333333333335	2.221848749616356	0.007406162498721188
方法	1	0.0033333333333333335	2.0969100130080562	0.006989700043360188
直接	1	0.0033333333333333335	2.0969100130080562	0.006989700043360188
例	1	0.0033333333333333335	2.0969100130080562	0.006989700043360188
さん	1	0.0033333333333333335	2.0969100130080562	0.006989700043360188
米	1	0.0033333333333333335	2.045757490560675	0.00681919163520225
様々	1	0.0033333333333333335	2.0	0.006666666666666667
子供	1	0.0033333333333333335	2.0	0.006666666666666667
上記	1	0.0033333333333333335	2.0	0.006666666666666667
同様	1	0.0033333333333333335	1.958607314841775	0.006528691049472584
これら	1	0.0033333333333333335	1.958607314841775	0.006528691049472584
為	1	0.0033333333333333335	1.9208187539523753	0.0064027291798412515
権	1	0.0033333333333333335	1.8860566476931633	0.006286855492310545
形	1	0.0033333333333333335	1.8860566476931633	0.006286855492310545
基本	1	0.0033333333333333335	1.8860566476931633	0.006286855492310545
発生	1	0.0033333333333333335	1.8860566476931633	0.006286855492310545
頃	1	0.0033333333333333335	1.8239087409443187	0.006079695803147729
とき	1	0.0033333333333333335	1.8239087409443187	0.006079695803147729
結果	1	0.0033333333333333335	1.7958800173440752	0.0059862667244802515
文化	1	0.0033333333333333335	1.7695510786217261	0.0058985035954057545
社	1	0.0033333333333333335	1.7212463990471711	0.005737487996823904
開始	1	0.0033333333333333335	1.7212463990471711	0.005737487996823904
