#語	出現回数	TF	IDF	TF-IDF	
鳥類	7	0.02005730659025788	3.0	0.060171919770773644
ハヤブサ	7	0.02005730659025788	3.0	0.060171919770773644
動物	7	0.02005730659025788	2.221848749616356	0.044564301568236375
頁	6	0.017191977077363897	2.3010299956639813	0.039559254939781914
ペア	4	0.011461318051575931	3.0	0.034383954154727794
門	5	0.014326647564469915	2.221848749616356	0.0318316439773117
属	4	0.011461318051575931	2.6989700043360187	0.03093375363135838
色彩	4	0.011461318051575931	2.6989700043360187	0.03093375363135838
科	5	0.014326647564469915	2.154901959985743	0.03087252091670119
鳥	4	0.011461318051575931	2.3010299956639813	0.026372836626521276
黄色	3	0.008595988538681949	3.0	0.025787965616045846
野鳥	3	0.008595988538681949	3.0	0.025787965616045846
越冬	3	0.008595988538681949	3.0	0.025787965616045846
羽毛	3	0.008595988538681949	3.0	0.025787965616045846
編集	8	0.022922636103151862	1.0177287669604316	0.023329026176743418
綱	3	0.008595988538681949	2.5228787452803374	0.021686636778914074
改訂	3	0.008595988538681949	2.5228787452803374	0.021686636778914074
生息	3	0.008595988538681949	2.3979400086720375	0.020612664830991726
界	3	0.008595988538681949	2.3979400086720375	0.020612664830991726
日本	6	0.017191977077363897	1.1870866433571445	0.02040836636144088
年	6	0.017191977077363897	1.0409586076789064	0.017896136521700395
切	2	0.0057306590257879654	3.0	0.017191977077363897
嘴	2	0.0057306590257879654	3.0	0.017191977077363897
上面	2	0.0057306590257879654	3.0	0.017191977077363897
ユーラシア	2	0.0057306590257879654	3.0	0.017191977077363897
成鳥	2	0.0057306590257879654	3.0	0.017191977077363897
増補	2	0.0057306590257879654	3.0	0.017191977077363897
獲物	2	0.0057306590257879654	3.0	0.017191977077363897
脊索	2	0.0057306590257879654	3.0	0.017191977077363897
タカ	2	0.0057306590257879654	3.0	0.017191977077363897
目	3	0.008595988538681949	1.9208187539523753	0.01651133599385996
列	2	0.0057306590257879654	2.6989700043360187	0.01546687681567919
大陸	2	0.0057306590257879654	2.6989700043360187	0.01546687681567919
ワシントン	2	0.0057306590257879654	2.6989700043360187	0.01546687681567919
生態	2	0.0057306590257879654	2.5228787452803374	0.014457757852609382
平凡社	2	0.0057306590257879654	2.5228787452803374	0.014457757852609382
亜	2	0.0057306590257879654	2.5228787452803374	0.014457757852609382
食	2	0.0057306590257879654	2.3979400086720375	0.013741776553994483
画像	2	0.0057306590257879654	2.3979400086720375	0.013741776553994483
分類	2	0.0057306590257879654	2.3979400086720375	0.013741776553994483
小型	2	0.0057306590257879654	2.3979400086720375	0.013741776553994483
監修	2	0.0057306590257879654	2.3979400086720375	0.013741776553994483
数	3	0.008595988538681949	1.585026652029182	0.01362487093434827
地	3	0.008595988538681949	1.537602002101044	0.01321720918711499
分布	2	0.0057306590257879654	2.3010299956639813	0.013186418313260638
条約	2	0.0057306590257879654	2.3010299956639813	0.013186418313260638
項目	4	0.011461318051575931	1.1426675035687315	0.013096475685601506
関連	4	0.011461318051575931	1.1191864077192086	0.012827351377870586
島	2	0.0057306590257879654	2.154901959985743	0.012349008366680476
減少	2	0.0057306590257879654	2.154901959985743	0.012349008366680476
人間	2	0.0057306590257879654	2.0969100130080562	0.012016676292309778
形態	2	0.0057306590257879654	2.045757490560675	0.01172353862785487
類	2	0.0057306590257879654	2.0	0.011461318051575931
風	2	0.0057306590257879654	2.0	0.011461318051575931
形成	2	0.0057306590257879654	1.958607314841775	0.01122411068677235
