#語	出現回数	TF
日	16	0.0432432432
満州	11	0.0297297297
日本	11	0.0297297297
ソ連	10	0.0270270270
月	10	0.0270270270
年	9	0.0243243243
事件	9	0.0243243243
側	7	0.0189189189
ソ	7	0.0189189189
国境	7	0.0189189189
溝	6	0.0162162162
廠	6	0.0162162162
金	6	0.0162162162
人	5	0.0135135135
国	5	0.0135135135
兵	5	0.0135135135
昭和	5	0.0135135135
外交	4	0.0108108108
脱走	4	0.0108108108
戦闘	4	0.0108108108
軍	4	0.0108108108
国軍	4	0.0108108108
発生	4	0.0108108108
一	3	0.0081081081
者	3	0.0081081081
もの	3	0.0081081081
紛争	3	0.0081081081
現地	3	0.0081081081
長	3	0.0081081081
間	3	0.0081081081
編集	3	0.0081081081
ため	2	0.0054054054
名	2	0.0054054054
越境	2	0.0054054054
議定	2	0.0054054054
結果	2	0.0054054054
反乱	2	0.0054054054
関係	2	0.0054054054
満	2	0.0054054054
隊	2	0.0054054054
これ	2	0.0054054054
部隊	2	0.0054054054
設置	2	0.0054054054
射撃	2	0.0054054054
発砲	2	0.0054054054
書	2	0.0054054054
合同	2	0.0054054054
会	2	0.0054054054
十	2	0.0054054054
地点	2	0.0054054054
外務省	2	0.0054054054
委員	2	0.0054054054
抗議	2	0.0054054054
密	2	0.0054054054
交渉	2	0.0054054054
頁	1	0.0027027027
判断	1	0.0027027027
士官	1	0.0027027027
三	1	0.0027027027
記録	1	0.0027027027
合意	1	0.0027027027
出動	1	0.0027027027
師団	1	0.0027027027
領	1	0.0027027027
戦死	1	0.0027027027
工作	1	0.0027027027
戦	1	0.0027027027
報告	1	0.0027027027
実現	1	0.0027027027
移動	1	0.0027027027
中立	1	0.0027027027
日本人	1	0.0027027027
作成	1	0.0027027027
処罰	1	0.0027027027
局	1	0.0027027027
事典	1	0.0027027027
一行	1	0.0027027027
大隊	1	0.0027027027
軍兵	1	0.0027027027
フリー	1	0.0027027027
不法	1	0.0027027027
東方	1	0.0027027027
総領事	1	0.0027027027
火	1	0.0027027027
銃撃	1	0.0027027027
陸	1	0.0027027027
乾	1	0.0027027027
領内	1	0.0027027027
的	1	0.0027027027
ら	1	0.0027027027
参考	1	0.0027027027
文献	1	0.0027027027
経過	1	0.0027027027
駐屯	1	0.0027027027
死傷	1	0.0027027027
亜	1	0.0027027027
関東軍	1	0.0027027027
山県	1	0.0027027027
国領	1	0.0027027027
課	1	0.0027027027
河	1	0.0027027027
出典	1	0.0027027027
回収	1	0.0027027027
所持	1	0.0027027027
連隊	1	0.0027027027
嶺子	1	0.0027027027
日記	1	0.0027027027
章	1	0.0027027027
一部	1	0.0027027027
部	1	0.0027027027
処理	1	0.0027027027
戦前	1	0.0027027027
時代	1	0.0027027027
目	1	0.0027027027
峰	1	0.0027027027
連邦	1	0.0027027027
歴史	1	0.0027027027
地帯	1	0.0027027027
件	1	0.0027027027
島	1	0.0027027027
調査	1	0.0027027027
最初	1	0.0027027027
鼓	1	0.0027027027
視察	1	0.0027027027
百科	1	0.0027027027
監視	1	0.0027027027
歩兵	1	0.0027027027
前線	1	0.0027027027
欧	1	0.0027027027
機関	1	0.0027027027
測量	1	0.0027027027
政府	1	0.0027027027
兵舎	1	0.0027027027
大使	1	0.0027027027
殺害	1	0.0027027027
死体	1	0.0027027027
張	1	0.0027027027
陸軍	1	0.0027027027
南方	1	0.0027027027
下旬	1	0.0027027027
高地	1	0.0027027027
十一月	1	0.0027027027
太田	1	0.0027027027
軍事	1	0.0027027027
センター	1	0.0027027027
体	1	0.0027027027
相当	1	0.0027027027
ノモンハン	1	0.0027027027
非難	1	0.0027027027
目的	1	0.0027027027
引渡し	1	0.0027027027
戦傷	1	0.0027027027
扇動	1	0.0027027027
双方	1	0.0027027027
参謀	1	0.0027027027
警戒	1	0.0027027027
幹部	1	0.0027027027
検索	1	0.0027027027
増派	1	0.0027027027
特務	1	0.0027027027
ハルビン	1	0.0027027027
事情	1	0.0027027027
追跡	1	0.0027027027
官	1	0.0027027027
枚	1	0.0027027027
会議	1	0.0027027027
組織	1	0.0027027027
応射	1	0.0027027027
資料	1	0.0027027027
軍部	1	0.0027027027
小規模	1	0.0027027027
カテゴリ	1	0.0027027027
アジア	1	0.0027027027
ソビエト	1	0.0027027027
ところ	1	0.0027027027
日系	1	0.0027027027
正確	1	0.0027027027
十二月	1	0.0027027027
執務	1	0.0027027027
それ	1	0.0027027027
地図	1	0.0027027027
以上	1	0.0027027027
里	1	0.0027027027
条約	1	0.0027027027
衝突	1	0.0027027027
康徳	1	0.0027027027
線	1	0.0027027027
責任	1	0.0027027027
きん	1	0.0027027027
同年	1	0.0027027027
聴取	1	0.0027027027
付近	1	0.0027027027
至	1	0.0027027027
武力	1	0.0027027027
