#語	出現回数	TF	IDF	TF-IDF	
漫画	19	0.06229508196721312	2.221848749616356	0.13841024997610088
巻	8	0.02622950819672131	2.154901959985743	0.056522018622576865
文書	6	0.019672131147540985	2.6989700043360187	0.05309449188857742
獣	6	0.019672131147540985	2.3979400086720375	0.04717259033453189
月	12	0.03934426229508197	1.1307682802690238	0.04448924381386323
まき	4	0.013114754098360656	3.0	0.039344262295081964
ドラマ	5	0.01639344262295082	2.3979400086720375	0.03931049194544324
日	10	0.03278688524590164	1.1804560644581312	0.03870347752321742
年	11	0.036065573770491806	1.0409586076789064	0.037542769457272036
原	5	0.01639344262295082	2.0969100130080562	0.03437557398373863
作品	6	0.019672131147540985	1.638272163982407	0.03222830486522768
健一	3	0.009836065573770493	3.0	0.029508196721311476
新書	3	0.009836065573770493	2.3979400086720375	0.023586295167265944
原作	3	0.009836065573770493	2.221848749616356	0.021854249996226455
家	4	0.013114754098360656	1.5086383061657274	0.01978542040873085
雑誌	3	0.009836065573770493	2.0	0.019672131147540985
杉田	2	0.006557377049180328	3.0	0.019672131147540982
透	2	0.006557377049180328	3.0	0.019672131147540982
プロローグ	2	0.006557377049180328	3.0	0.019672131147540982
チェリー	2	0.006557377049180328	3.0	0.019672131147540982
宏一	2	0.006557377049180328	3.0	0.019672131147540982
智和	2	0.006557377049180328	3.0	0.019672131147540982
静馬	2	0.006557377049180328	3.0	0.019672131147540982
春生	2	0.006557377049180328	3.0	0.019672131147540982
山寺	2	0.006557377049180328	3.0	0.019672131147540982
エピローグ	2	0.006557377049180328	3.0	0.019672131147540982
南央	2	0.006557377049180328	3.0	0.019672131147540982
夏未	2	0.006557377049180328	3.0	0.019672131147540982
サウス	2	0.006557377049180328	3.0	0.019672131147540982
部下	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
チェック	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
張	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
望月	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
浅丘	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
大川	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
能	2	0.006557377049180328	2.6989700043360187	0.01769816396285914
登場	3	0.009836065573770493	1.7958800173440752	0.017664393613220412
館	3	0.009836065573770493	1.7958800173440752	0.017664393613220412
中原	2	0.006557377049180328	2.5228787452803374	0.016543467182166146
友	2	0.006557377049180328	2.5228787452803374	0.016543467182166146
茂	2	0.006557377049180328	2.3979400086720375	0.015724196778177296
月刊	2	0.006557377049180328	2.3979400086720375	0.015724196778177296
医師	2	0.006557377049180328	2.3979400086720375	0.015724196778177296
キャスト	2	0.006557377049180328	2.3979400086720375	0.015724196778177296
美	2	0.006557377049180328	2.3979400086720375	0.015724196778177296
書籍	2	0.006557377049180328	2.3010299956639813	0.0150887212830425
村上	2	0.006557377049180328	2.3010299956639813	0.0150887212830425
連載	2	0.006557377049180328	2.221848749616356	0.014569499997484303
テーマ	2	0.006557377049180328	2.0969100130080562	0.01375022959349545
編集	4	0.013114754098360656	1.0177287669604316	0.013347262517513857
者	3	0.009836065573770493	1.1870866433571445	0.01167626206580798
日本	3	0.009836065573770493	1.1870866433571445	0.01167626206580798
項目	3	0.009836065573770493	1.1426675035687315	0.01123935249411867
人物	2	0.006557377049180328	1.5086383061657274	0.009892710204365425
康嗣	1	0.003278688524590164	3.0	0.009836065573770491
啓一	1	0.003278688524590164	3.0	0.009836065573770491
丈	1	0.003278688524590164	3.0	0.009836065573770491
光央	1	0.003278688524590164	3.0	0.009836065573770491
休刊	1	0.003278688524590164	3.0	0.009836065573770491
ジョーンズ	1	0.003278688524590164	3.0	0.009836065573770491
智之	1	0.003278688524590164	3.0	0.009836065573770491
園部	1	0.003278688524590164	3.0	0.009836065573770491
緑川	1	0.003278688524590164	3.0	0.009836065573770491
飯田	1	0.003278688524590164	3.0	0.009836065573770491
イワン	1	0.003278688524590164	3.0	0.009836065573770491
浅川	1	0.003278688524590164	3.0	0.009836065573770491
森久保	1	0.003278688524590164	3.0	0.009836065573770491
隊長	1	0.003278688524590164	3.0	0.009836065573770491
魔	1	0.003278688524590164	3.0	0.009836065573770491
婚	1	0.003278688524590164	3.0	0.009836065573770491
正道	1	0.003278688524590164	3.0	0.009836065573770491
祥	1	0.003278688524590164	3.0	0.009836065573770491
細井	1	0.003278688524590164	3.0	0.009836065573770491
サバイバル	1	0.003278688524590164	3.0	0.009836065573770491
告白	1	0.003278688524590164	3.0	0.009836065573770491
折笠	1	0.003278688524590164	3.0	0.009836065573770491
なるみ	1	0.003278688524590164	3.0	0.009836065573770491
由香	1	0.003278688524590164	3.0	0.009836065573770491
