#語	出現回数	TF
求刑	25	0.0497017893
年	22	0.0437375746
判決	16	0.0318091451
懲役	14	0.0278330020
月	9	0.0178926441
論告	8	0.0159045726
刑事	8	0.0159045726
地裁	8	0.0159045726
事件	8	0.0159045726
日	8	0.0159045726
検察官	7	0.0139165010
場合	7	0.0139165010
法	7	0.0139165010
適用	6	0.0119284294
上	5	0.0099403579
猶予	5	0.0099403579
意見	5	0.0099403579
訴訟	5	0.0099403579
被告	5	0.0099403579
法律	5	0.0099403579
死刑	5	0.0099403579
者	4	0.0079522863
法則	4	0.0079522863
証拠	4	0.0079522863
公訴	4	0.0079522863
裁判官	4	0.0079522863
手続	4	0.0079522863
人	4	0.0079522863
関連	4	0.0079522863
執行	4	0.0079522863
例	4	0.0079522863
起訴	4	0.0079522863
裁判	4	0.0079522863
項目	4	0.0079522863
編集	4	0.0079522863
か月	3	0.0059642147
公判	3	0.0059642147
量刑	3	0.0059642147
言葉	3	0.0059642147
被害	3	0.0059642147
事実	3	0.0059642147
実務	3	0.0059642147
裁判所	3	0.0059642147
制度	3	0.0059642147
控訴	3	0.0059642147
刑罰	3	0.0059642147
大阪	3	0.0059642147
万	2	0.0039761431
無期	2	0.0039761431
事故	2	0.0039761431
概要	2	0.0039761431
殺人	2	0.0039761431
検察	2	0.0039761431
無罪	2	0.0039761431
の	2	0.0039761431
罰金	2	0.0039761431
死亡	2	0.0039761431
強盗	2	0.0039761431
弁護	2	0.0039761431
法令	2	0.0039761431
主義	2	0.0039761431
員	2	0.0039761431
刑法	2	0.0039761431
脚注	2	0.0039761431
違法	2	0.0039761431
男	2	0.0039761431
解説	2	0.0039761431
法学	2	0.0039761431
歳	2	0.0039761431
円	2	0.0039761431
調べ	2	0.0039761431
強制	2	0.0039761431
日本	2	0.0039761431
交通	2	0.0039761431
市	1	0.0019880716
判断	1	0.0019880716
ため	1	0.0019880716
項	1	0.0019880716
理	1	0.0019880716
違反	1	0.0019880716
平易	1	0.0019880716
黙秘	1	0.0019880716
名	1	0.0019880716
部分	1	0.0019880716
外山	1	0.0019880716
自身	1	0.0019880716
勾留	1	0.0019880716
刑	1	0.0019880716
捜査	1	0.0019880716
けい	1	0.0019880716
差押え	1	0.0019880716
掛け	1	0.0019880716
国内	1	0.0019880716
諸般	1	0.0019880716
山陽	1	0.0019880716
限り	1	0.0019880716
権	1	0.0019880716
もの	1	0.0019880716
中	1	0.0019880716
確定	1	0.0019880716
殺傷	1	0.0019880716
相場	1	0.0019880716
移動	1	0.0019880716
鹿児島	1	0.0019880716
黒人	1	0.0019880716
作成	1	0.0019880716
仙台	1	0.0019880716
事典	1	0.0019880716
阪和線	1	0.0019880716
報道	1	0.0019880716
届	1	0.0019880716
含意	1	0.0019880716
遣い	1	0.0019880716
道	1	0.0019880716
目安	1	0.0019880716
被疑	1	0.0019880716
令状	1	0.0019880716
実刑	1	0.0019880716
フリー	1	0.0019880716
表	1	0.0019880716
事例	1	0.0019880716
心神耗弱	1	0.0019880716
専権	1	0.0019880716
話	1	0.0019880716
さいたま	1	0.0019880716
最後	1	0.0019880716
一事	1	0.0019880716
分野	1	0.0019880716
罪状	1	0.0019880716
規則	1	0.0019880716
少年	1	0.0019880716
免訴	1	0.0019880716
無実	1	0.0019880716
理解	1	0.0019880716
犯罪	1	0.0019880716
ヘルプ	1	0.0019880716
加筆	1	0.0019880716
検証	1	0.0019880716
収集	1	0.0019880716
出典	1	0.0019880716
よう	1	0.0019880716
時効	1	0.0019880716
最新	1	0.0019880716
相談	1	0.0019880716
請求	1	0.0019880716
集	1	0.0019880716
記述	1	0.0019880716
秋田	1	0.0019880716
事項	1	0.0019880716
付	1	0.0019880716
最近	1	0.0019880716
うち	1	0.0019880716
疑い	1	0.0019880716
一部	1	0.0019880716
処分	1	0.0019880716
伝聞	1	0.0019880716
八王子	1	0.0019880716
幻冬舎	1	0.0019880716
愛人	1	0.0019880716
免責	1	0.0019880716
明らか	1	0.0019880716
逮捕	1	0.0019880716
書	1	0.0019880716
・	1	0.0019880716
自首	1	0.0019880716
国選	1	0.0019880716
思料	1	0.0019880716
参加	1	0.0019880716
会	1	0.0019880716
百科	1	0.0019880716
輝	1	0.0019880716
整理	1	0.0019880716
排除	1	0.0019880716
女性	1	0.0019880716
告訴	1	0.0019880716
法条	1	0.0019880716
警察	1	0.0019880716
認否	1	0.0019880716
保護	1	0.0019880716
長嶺	1	0.0019880716
審査	1	0.0019880716
過去	1	0.0019880716
訴因	1	0.0019880716
棄却	1	0.0019880716
職員	1	0.0019880716
改正	1	0.0019880716
捜索	1	0.0019880716
放棄	1	0.0019880716
審判	1	0.0019880716
致傷	1	0.0019880716
相当	1	0.0019880716
東京	1	0.0019880716
心神喪失	1	0.0019880716
条	1	0.0019880716
記事	1	0.0019880716
遭遇	1	0.0019880716
米兵	1	0.0019880716
現実	1	0.0019880716
罰	1	0.0019880716
わいせつ	1	0.0019880716
歴	1	0.0019880716
告発	1	0.0019880716
保釈	1	0.0019880716
強姦	1	0.0019880716
上告	1	0.0019880716
検索	1	0.0019880716
拘束	1	0.0019880716
後	1	0.0019880716
有罪	1	0.0019880716
事情	1	0.0019880716
支部	1	0.0019880716
禁固	1	0.0019880716
カテゴリ	1	0.0019880716
訂正	1	0.0019880716
専門	1	0.0019880716
家	1	0.0019880716
便宜	1	0.0019880716
表示	1	0.0019880716
自白	1	0.0019880716
考慮	1	0.0019880716
爆笑	1	0.0019880716
連続	1	0.0019880716
補強	1	0.0019880716
以上	1	0.0019880716
協力	1	0.0019880716
陳述	1	0.0019880716
科	1	0.0019880716
きゅう	1	0.0019880716
司法	1	0.0019880716
京都	1	0.0019880716
恒一	1	0.0019880716
形式	1	0.0019880716
編	1	0.0019880716
審	1	0.0019880716
教科書	1	0.0019880716
判例	1	0.0019880716
道路	1	0.0019880716
再審	1	0.0019880716
反映	1	0.0019880716
弁論	1	0.0019880716
政策	1	0.0019880716
目次	1	0.0019880716
マスメディア	1	0.0019880716
