#語	出現回数	TF
マン	8	0.0390243902
コール	8	0.0390243902
者	6	0.0292682927
ロナルド	6	0.0292682927
編集	6	0.0292682927
受賞	6	0.0292682927
年	5	0.0243902439
月	4	0.0195121951
出演	4	0.0195121951
日	4	0.0195121951
スター	3	0.0146341463
舞台	3	0.0146341463
俳優	3	0.0146341463
イギリス	3	0.0146341463
関連	3	0.0146341463
賞	3	0.0146341463
世界	3	0.0146341463
リッチモンド	2	0.0097560976
主演	2	0.0097560976
アカデミー	2	0.0097560976
男	2	0.0097560976
主	2	0.0097560976
リンク	2	0.0097560976
本名	2	0.0097560976
二	2	0.0097560976
人気	2	0.0097560976
外部	2	0.0097560976
項目	2	0.0097560976
没	2	0.0097560976
プロフィール	2	0.0097560976
表示	2	0.0097560976
重	2	0.0097560976
男優	2	0.0097560976
日本	2	0.0097560976
作品	2	0.0097560976
生活	2	0.0097560976
一	1	0.0048780488
トレードマーク	1	0.0048780488
口ひげ	1	0.0048780488
負傷	1	0.0048780488
三	1	0.0048780488
黎明	1	0.0048780488
データベース	1	0.0048780488
つもり	1	0.0048780488
映画	1	0.0048780488
マルチメディア	1	0.0048780488
アメリカ	1	0.0048780488
百科	1	0.0048780488
期	1	0.0048780488
次	1	0.0048780488
リスト	1	0.0048780488
ケンブリッジ大学	1	0.0048780488
地	1	0.0048780488
移動	1	0.0048780488
父親	1	0.0048780488
ヘストン	1	0.0048780488
年月日	1	0.0048780488
商人	1	0.0048780488
仮面	1	0.0048780488
日間	1	0.0048780488
事典	1	0.0048780488
扇	1	0.0048780488
裕福	1	0.0048780488
位	1	0.0048780488
嵐	1	0.0048780488
ムービー	1	0.0048780488
げ	1	0.0048780488
フリー	1	0.0048780488
虜	1	0.0048780488
本国	1	0.0048780488
イングランド	1	0.0048780488
一周	1	0.0048780488
ルーカス	1	0.0048780488
表	1	0.0048780488
ボガート	1	0.0048780488
出生	1	0.0048780488
灯	1	0.0048780488
話	1	0.0048780488
色	1	0.0048780488
歳	1	0.0048780488
各国	1	0.0048780488
サリー	1	0.0048780488
死	1	0.0048780488
生年月日	1	0.0048780488
回復	1	0.0048780488
キネマ旬報	1	0.0048780488
ベストテン	1	0.0048780488
インターネット	1	0.0048780488
検索	1	0.0048780488
ロンドン	1	0.0048780488
後	1	0.0048780488
サミュエル	1	0.0048780488
従軍	1	0.0048780488
数々	1	0.0048780488
エンジニアリング	1	0.0048780488
シスター	1	0.0048780488
地平線	1	0.0048780488
ハンフリー	1	0.0048780488
ポール	1	0.0048780488
出典	1	0.0048780488
除隊	1	0.0048780488
よう	1	0.0048780488
人	1	0.0048780488
家庭	1	0.0048780488
チャールトン	1	0.0048780488
心	1	0.0048780488
旅路	1	0.0048780488
トーキー	1	0.0048780488
城	1	0.0048780488
大戦	1	0.0048780488
旗	1	0.0048780488
配偶	1	0.0048780488
ゲイリー	1	0.0048780488
英語	1	0.0048780488
断念	1	0.0048780488
年代	1	0.0048780488
夫人	1	0.0048780488
クーパー	1	0.0048780488
編	1	0.0048780488
ホワイト	1	0.0048780488
代表	1	0.0048780488
国籍	1	0.0048780488
出身	1	0.0048780488
・	1	0.0048780488
目次	1	0.0048780488
