#語	出現回数	TF	IDF	TF-IDF	
松江	17	0.03512396694214876	3.0	0.10537190082644629
藩主	11	0.022727272727272728	2.5228787452803374	0.05733815330182585
島根	9	0.01859504132231405	3.0	0.05578512396694215
廟	7	0.014462809917355372	3.0	0.04338842975206612
文化財	9	0.01859504132231405	2.3010299956639813	0.04278774785325585
松平	7	0.014462809917355372	2.6989700043360187	0.03903469014535564
大亀	6	0.012396694214876033	3.0	0.0371900826446281
岩	6	0.012396694214876033	3.0	0.0371900826446281
直政	6	0.012396694214876033	3.0	0.0371900826446281
指定	8	0.01652892561983471	2.0969100130080562	0.0346596696364968
墓所	6	0.012396694214876033	2.6989700043360187	0.03345830583887627
門	7	0.014462809917355372	2.221848749616356	0.03213417613081507
史跡	6	0.012396694214876033	2.5228787452803374	0.03127535634645046
照寺	5	0.010330578512396695	3.0	0.030991735537190084
県	10	0.02066115702479339	1.431798275933005	0.02958260900688027
境内	5	0.010330578512396695	2.5228787452803374	0.026062796955375386
年	12	0.024793388429752067	1.0409586076789064	0.025808891099477017
有形	4	0.008264462809917356	3.0	0.024793388429752067
久多見	4	0.008264462809917356	3.0	0.024793388429752067
寺	5	0.010330578512396695	2.221848749616356	0.022952982950582193
庵	4	0.008264462809917356	2.6989700043360187	0.02230553722591751
浄土宗	4	0.008264462809917356	2.6989700043360187	0.02230553722591751
出雲	4	0.008264462809917356	2.5228787452803374	0.02085023756430031
伝説	4	0.008264462809917356	2.3979400086720375	0.019817686022082955
代	5	0.010330578512396695	1.8860566476931633	0.019484056277821935
市	6	0.012396694214876033	1.5228787452803376	0.018878662131574433
寛文	3	0.006198347107438017	3.0	0.01859504132231405
大円	3	0.006198347107438017	3.0	0.01859504132231405
外中原	3	0.006198347107438017	3.0	0.01859504132231405
院	4	0.008264462809917356	2.0969100130080562	0.0173298348182484
碑	3	0.006198347107438017	2.6989700043360187	0.016729152919438134
月	7	0.014462809917355372	1.1307682802690238	0.016354086698105716
国	5	0.010330578512396695	1.5528419686577808	0.016041755874563853
真	3	0.006198347107438017	2.5228787452803374	0.01563767817322523
町	4	0.008264462809917356	1.7958800173440752	0.014841983614413846
編集	7	0.014462809917355372	1.0177287669604316	0.014719217703973185
家	4	0.008264462809917356	1.5086383061657274	0.012468085174923368
国神	2	0.004132231404958678	3.0	0.012396694214876033
騎	2	0.004132231404958678	3.0	0.012396694214876033
地蔵	2	0.004132231404958678	3.0	0.012396694214876033
延命	2	0.004132231404958678	3.0	0.012396694214876033
霊場	2	0.004132231404958678	3.0	0.012396694214876033
誉	2	0.004132231404958678	3.0	0.012396694214876033
歓喜	2	0.004132231404958678	3.0	0.012396694214876033
獅子	2	0.004132231404958678	3.0	0.012396694214876033
札所	2	0.004132231404958678	3.0	0.012396694214876033
絹本	2	0.004132231404958678	3.0	0.012396694214876033
八雲	2	0.004132231404958678	3.0	0.012396694214876033
文殊	2	0.004132231404958678	3.0	0.012396694214876033
寿蔵	2	0.004132231404958678	3.0	0.012396694214876033
お抱え	2	0.004132231404958678	3.0	0.012396694214876033
廟所	2	0.004132231404958678	3.0	0.012396694214876033
治郷	2	0.004132231404958678	3.0	0.012396694214876033
山号	2	0.004132231404958678	3.0	0.012396694214876033
アジサイ	2	0.004132231404958678	3.0	0.012396694214876033
開基	2	0.004132231404958678	3.0	0.012396694214876033
所在地	3	0.006198347107438017	1.8239087409443187	0.011305219468663133
尊	2	0.004132231404958678	2.5228787452803374	0.010425118782150154
材料	2	0.004132231404958678	2.5228787452803374	0.010425118782150154
小泉	2	0.004132231404958678	2.5228787452803374	0.010425118782150154
寺院	2	0.004132231404958678	2.5228787452803374	0.010425118782150154
分	3	0.006198347107438017	1.6575773191777938	0.01027423958168054
徒歩	2	0.004132231404958678	2.221848749616356	0.009181193180232876
仏	2	0.004132231404958678	2.221848749616356	0.009181193180232876
像	2	0.004132231404958678	2.221848749616356	0.009181193180232876
母	2	0.004132231404958678	2.221848749616356	0.009181193180232876
初代	2	0.004132231404958678	2.154901959985743	0.008904553553660096
番	2	0.004132231404958678	2.154901959985743	0.008904553553660096
秒	2	0.004132231404958678	2.154901959985743	0.008904553553660096
著	2	0.004132231404958678	2.0969100130080562	0.0086649174091242
山	2	0.004132231404958678	2.0969100130080562	0.0086649174091242
さん	2	0.004132231404958678	2.0969100130080562	0.0086649174091242
色	2	0.004132231404958678	2.045757490560675	0.008453543349424277
アクセス	2	0.004132231404958678	2.045757490560675	0.008453543349424277
現在	3	0.006198347107438017	1.3467874862246563	0.008347856319574316
沿革	2	0.004132231404958678	2.0	0.008264462809917356
江戸	2	0.004132231404958678	1.958607314841775	0.008093418656370971
長	2	0.004132231404958678	1.7695510786217261	0.007312194539759199
度	2	0.004132231404958678	1.7212463990471711	0.007112588425814757
社	2	0.004132231404958678	1.7212463990471711	0.007112588425814757
交通	2	0.004132231404958678	1.7212463990471711	0.007112588425814757
所	2	0.004132231404958678	1.6989700043360187	0.0070205372080000775
際	2	0.004132231404958678	1.6777807052660807	0.006932978120934218
地	2	0.004132231404958678	1.537602002101044	0.006353727281409273
等	2	0.004132231404958678	1.5086383061657274	0.006234042587461684
我	1	0.002066115702479339	3.0	0.006198347107438017
逗留	1	0.002066115702479339	3.0	0.006198347107438017
刻	1	0.002066115702479339	3.0	0.006198347107438017
町中	1	0.002066115702479339	3.0	0.006198347107438017
光山	1	0.002066115702479339	3.0	0.006198347107438017
臨終	1	0.002066115702479339	3.0	0.006198347107438017
墳墓	1	0.002066115702479339	3.0	0.006198347107438017
牌	1	0.002066115702479339	3.0	0.006198347107438017
本尊	1	0.002066115702479339	3.0	0.006198347107438017
茶人	1	0.002066115702479339	3.0	0.006198347107438017
神石	1	0.002066115702479339	3.0	0.006198347107438017
産地	1	0.002066115702479339	3.0	0.006198347107438017
神威	1	0.002066115702479339	3.0	0.006198347107438017
随筆	1	0.002066115702479339	3.0	0.006198347107438017
わ	1	0.002066115702479339	3.0	0.006198347107438017
土台	1	0.002066115702479339	3.0	0.006198347107438017
しょうにん	1	0.002066115702479339	3.0	0.006198347107438017
寄進	1	0.002066115702479339	3.0	0.006198347107438017
雷電	1	0.002066115702479339	3.0	0.006198347107438017
堅牢	1	0.002066115702479339	3.0	0.006198347107438017
徘徊	1	0.002066115702479339	3.0	0.006198347107438017
葬送	1	0.002066115702479339	3.0	0.006198347107438017
