#語	出現回数	TF	IDF	TF-IDF	
乃木	21	0.052763819095477386	3.0	0.15829145728643215
神社	13	0.032663316582914576	2.154901959985743	0.07038624492415745
京都	9	0.022613065326633167	1.9208187539523753	0.043435599963747185
将軍	6	0.01507537688442211	2.5228787452803374	0.03803334791879905
府	6	0.01507537688442211	2.0969100130080562	0.031611708738814914
露	4	0.010050251256281407	2.6989700043360187	0.02712532667674391
現地	4	0.010050251256281407	2.5228787452803374	0.025355565279199372
創建	4	0.010050251256281407	2.5228787452803374	0.025355565279199372
希典	3	0.007537688442211055	3.0	0.022613065326633167
壽	3	0.007537688442211055	2.6989700043360187	0.02034399500755793
戦争	4	0.010050251256281407	1.958607314841775	0.019684495626550502
年	7	0.017587939698492462	1.0409586076789064	0.01830831722048328
藩	3	0.007537688442211055	2.221848749616356	0.016747603640324293
市	4	0.010050251256281407	1.5228787452803376	0.015305314022917967
陵	2	0.005025125628140704	3.0	0.01507537688442211
麓	2	0.005025125628140704	3.0	0.01507537688442211
京阪	2	0.005025125628140704	3.0	0.01507537688442211
吾妻	2	0.005025125628140704	3.0	0.01507537688442211
明治天皇	2	0.005025125628140704	3.0	0.01507537688442211
愛馬	2	0.005025125628140704	3.0	0.01507537688442211
日	5	0.01256281407035176	1.1804560644581312	0.014829850056006674
とき	3	0.007537688442211055	1.8239087409443187	0.013748055836263708
伏見	2	0.005025125628140704	2.6989700043360187	0.013562663338371955
社格	2	0.005025125628140704	2.6989700043360187	0.013562663338371955
もの	4	0.010050251256281407	1.3279021420642825	0.013345750171500326
社	3	0.007537688442211055	1.7212463990471711	0.012974219088295259
ロシア	2	0.005025125628140704	2.5228787452803374	0.012677782639599686
台湾	2	0.005025125628140704	2.3979400086720375	0.012049949792321797
建物	2	0.005025125628140704	2.3010299956639813	0.011562964802331564
号	3	0.007537688442211055	1.5228787452803376	0.011478985517188473
等	3	0.007537688442211055	1.5086383061657274	0.011371645523862266
心	2	0.005025125628140704	2.221848749616356	0.011165069093549529
秒	2	0.005025125628140704	2.154901959985743	0.010828653065254991
区	2	0.005025125628140704	2.0969100130080562	0.01053723624627164
会社	2	0.005025125628140704	2.0969100130080562	0.01053723624627164
アクセス	2	0.005025125628140704	2.045757490560675	0.01028018839477726
編集	4	0.010050251256281407	1.0177287669604316	0.010228429818697805
鉄道	2	0.005025125628140704	2.0	0.010050251256281407
はじめ	2	0.005025125628140704	1.958607314841775	0.009842247813275251
江戸	2	0.005025125628140704	1.958607314841775	0.009842247813275251
大阪	2	0.005025125628140704	1.958607314841775	0.009842247813275251
大正	2	0.005025125628140704	1.9208187539523753	0.009652355547499374
館	2	0.005025125628140704	1.7958800173440752	0.009024522700221483
軍	2	0.005025125628140704	1.7695510786217261	0.008892216475486062
長	2	0.005025125628140704	1.7695510786217261	0.008892216475486062
駅	2	0.005025125628140704	1.744727494896694	0.008767474848727105
