#語	出現回数	TF	IDF	TF-IDF	
徳島	19	0.05093833780160858	2.3010299956639813	0.1172106432107658
バス	19	0.05093833780160858	1.853871964321762	0.09443315635955356
駅	19	0.05093833780160858	1.744727494896694	0.0888735185068021
便	12	0.032171581769437	2.3979400086720375	0.07714552306719692
鳴門	9	0.024128686327077747	3.0	0.07238605898123324
高速	10	0.02680965147453083	2.0969100130080562	0.056217426622199904
県	12	0.032171581769437	1.431798275933005	0.04606321531151759
施設	8	0.021447721179624665	1.7212463990471711	0.0369168128481967
駐車	5	0.013404825737265416	2.6989700043360187	0.036179222578230814
ターミナル	5	0.013404825737265416	2.5228787452803374	0.03381874993673375
松茂	4	0.010723860589812333	3.0	0.032171581769437
経由	5	0.013404825737265416	2.3979400086720375	0.03214396794466538
停車	5	0.013404825737265416	2.3979400086720375	0.03214396794466538
方面	6	0.0160857908847185	1.9208187539523753	0.030897888803523465
発着	5	0.013404825737265416	2.3010299956639813	0.030844906108096263
吉野川	3	0.00804289544235925	3.0	0.02412868632707775
交通	5	0.013404825737265416	1.7212463990471711	0.023073008030122938
場	5	0.013404825737265416	1.6989700043360187	0.0227743968409654
設置	4	0.010723860589812333	1.7958800173440752	0.019258766942027616
道路	3	0.00804289544235925	2.154901959985743	0.017331651152700345
編集	6	0.0160857908847185	1.0177287669604316	0.016370972122687906
等	4	0.010723860589812333	1.5086383061657274	0.016178426875771874
淡路島	2	0.005361930294906166	3.0	0.0160857908847185
阿南	2	0.005361930294906166	3.0	0.0160857908847185
道	3	0.00804289544235925	1.8860566476931633	0.015169356415762707
狙い	2	0.005361930294906166	2.6989700043360187	0.014471689031292326
バスターミナル	2	0.005361930294906166	2.6989700043360187	0.014471689031292326
事例	2	0.005361930294906166	2.5228787452803374	0.013527499974693498
香川	2	0.005361930294906166	2.5228787452803374	0.013527499974693498
都合	2	0.005361930294906166	2.5228787452803374	0.013527499974693498
民営	2	0.005361930294906166	2.3979400086720375	0.012857587177866153
日	4	0.010723860589812333	1.1804560644581312	0.01265904626764752
岡山	2	0.005361930294906166	2.3010299956639813	0.012337962443238506
表示	4	0.010723860589812333	1.1426675035687315	0.012253807008779963
それ	3	0.00804289544235925	1.5228787452803376	0.012248354519680999
開設	2	0.005361930294906166	2.221848749616356	0.011913398121267325
通過	2	0.005361930294906166	2.221848749616356	0.011913398121267325
グループ	2	0.005361930294906166	2.154901959985743	0.011554434101800232
比較	2	0.005361930294906166	2.154901959985743	0.011554434101800232
広島	2	0.005361930294906166	2.154901959985743	0.011554434101800232
量	2	0.005361930294906166	2.045757490560675	0.010969209064668499
全て	2	0.005361930294906166	1.958607314841775	0.010501915897274934
路線	2	0.005361930294906166	1.9208187539523753	0.010299296267841155
町	2	0.005361930294906166	1.7958800173440752	0.009629383471013808
者	3	0.00804289544235925	1.1870866433571445	0.009547613753542718
一般	2	0.005361930294906166	1.7212463990471711	0.009229203212049175
利用	2	0.005361930294906166	1.6020599913279625	0.008590134001758513
前	2	0.005361930294906166	1.585026652029182	0.008498802423748966
上	2	0.005361930294906166	1.5228787452803376	0.008165569679787333
詰め	1	0.002680965147453083	3.0	0.00804289544235925
中喜来	1	0.002680965147453083	3.0	0.00804289544235925
サーチ	1	0.002680965147453083	3.0	0.00804289544235925
歩行	1	0.002680965147453083	3.0	0.00804289544235925
原付	1	0.002680965147453083	3.0	0.00804289544235925
板野	1	0.002680965147453083	3.0	0.00804289544235925
山鹿	1	0.002680965147453083	3.0	0.00804289544235925
一大	1	0.002680965147453083	3.0	0.00804289544235925
渋滞	1	0.002680965147453083	3.0	0.00804289544235925
全便	1	0.002680965147453083	3.0	0.00804289544235925
千代田	1	0.002680965147453083	3.0	0.00804289544235925
大橋南	1	0.002680965147453083	3.0	0.00804289544235925
不可	1	0.002680965147453083	3.0	0.00804289544235925
荘川	1	0.002680965147453083	3.0	0.00804289544235925
便数	1	0.002680965147453083	3.0	0.00804289544235925
発車	1	0.002680965147453083	3.0	0.00804289544235925
