#語	出現回数	TF	IDF	TF-IDF	
公園	45	0.1171875	2.154901959985743	0.25252757343582927
国立	41	0.10677083333333333	2.0969100130080562	0.223888829513881
霧島	12	0.03125	3.0	0.09375
地域	11	0.028645833333333332	1.8860566476931633	0.05402766438704374
屋久島	7	0.018229166666666668	2.6989700043360187	0.049199974037375346
屋久	6	0.015625	3.0	0.046875
火山	5	0.013020833333333334	3.0	0.0390625
錦江湾	5	0.013020833333333334	2.6989700043360187	0.035142838598125246
桜島	3	0.0078125	3.0	0.0234375
雲仙	3	0.0078125	3.0	0.0234375
佐多岬	3	0.0078125	2.6989700043360187	0.021085703158875146
岳	3	0.0078125	2.6989700043360187	0.021085703158875146
地	5	0.013020833333333334	1.537602002101044	0.020020859402357344
景勝	3	0.0078125	2.5228787452803374	0.019709990197502636
海岸	3	0.0078125	2.3979400086720375	0.018733906317750293
豊富	3	0.0078125	2.3979400086720375	0.018733906317750293
日本	6	0.015625	1.1870866433571445	0.018548228802455383
中心	4	0.010416666666666666	1.7695510786217261	0.018432823735642978
湖	3	0.0078125	2.3010299956639813	0.017976796841124854
九州	3	0.0078125	2.221848749616356	0.017358193356377782
温泉	3	0.0078125	2.221848749616356	0.017358193356377782
主要	3	0.0078125	2.154901959985743	0.016835171562388618
指定	3	0.0078125	2.0969100130080562	0.01638210947662544
年	6	0.015625	1.0409586076789064	0.016264978244982912
自然	3	0.0078125	2.0	0.015625
天草	2	0.005208333333333333	3.0	0.015625
韓国	2	0.005208333333333333	3.0	0.015625
開聞岳	2	0.005208333333333333	3.0	0.015625
霧島山	2	0.005208333333333333	3.0	0.015625
国定	2	0.005208333333333333	2.6989700043360187	0.014057135439250096
瀬戸内海	2	0.005208333333333333	2.6989700043360187	0.014057135439250096
林	2	0.005208333333333333	2.6989700043360187	0.014057135439250096
編集	5	0.013020833333333334	1.0177287669604316	0.01325167665313062
確認	2	0.005208333333333333	2.3010299956639813	0.011984531227416568
中部	2	0.005208333333333333	2.3010299956639813	0.011984531227416568
池田	2	0.005208333333333333	2.3010299956639813	0.011984531227416568
地理	2	0.005208333333333333	2.221848749616356	0.011572128904251855
鹿児島	2	0.005208333333333333	2.154901959985743	0.011223447708259077
面積	2	0.005208333333333333	2.154901959985743	0.011223447708259077
周辺	2	0.005208333333333333	1.958607314841775	0.010201079764800912
南	2	0.005208333333333333	1.9208187539523753	0.010004264343501955
日	3	0.0078125	1.1804560644581312	0.00922231300357915
月	3	0.0078125	1.1307682802690238	0.008834127189601748
昭和	2	0.005208333333333333	1.6777807052660807	0.008738441173260836
歴史	2	0.005208333333333333	1.5686362358410126	0.008169980395005274
尾之間	1	0.0026041666666666665	3.0	0.0078125
野生	1	0.0026041666666666665	3.0	0.0078125
湿原	1	0.0026041666666666665	3.0	0.0078125
砂州	1	0.0026041666666666665	3.0	0.0078125
山陰	1	0.0026041666666666665	3.0	0.0078125
石垣	1	0.0026041666666666665	3.0	0.0078125
天然	1	0.0026041666666666665	3.0	0.0078125
足摺	1	0.0026041666666666665	3.0	0.0078125
利尻	1	0.0026041666666666665	3.0	0.0078125
喜入	1	0.0026041666666666665	3.0	0.0078125
南岸	1	0.0026041666666666665	3.0	0.0078125
繋	1	0.0026041666666666665	3.0	0.0078125
知床	1	0.0026041666666666665	3.0	0.0078125
大雪山	1	0.0026041666666666665	3.0	0.0078125
宇和海	1	0.0026041666666666665	3.0	0.0078125
阿寒	1	0.0026041666666666665	3.0	0.0078125
十和田	1	0.0026041666666666665	3.0	0.0078125
ミヤマキリシマ	1	0.0026041666666666665	3.0	0.0078125
伊豆	1	0.0026041666666666665	3.0	0.0078125
アカマツ	1	0.0026041666666666665	3.0	0.0078125
屹立	1	0.0026041666666666665	3.0	0.0078125
志摩	1	0.0026041666666666665	3.0	0.0078125
上信越	1	0.0026041666666666665	3.0	0.0078125
えびの高原	1	0.0026041666666666665	3.0	0.0078125
薩摩半島	1	0.0026041666666666665	3.0	0.0078125
熊野	1	0.0026041666666666665	3.0	0.0078125
指宿	1	0.0026041666666666665	3.0	0.0078125
鰻池	1	0.0026041666666666665	3.0	0.0078125
長崎鼻	1	0.0026041666666666665	3.0	0.0078125
知林ヶ島	1	0.0026041666666666665	3.0	0.0078125
白山	1	0.0026041666666666665	3.0	0.0078125
温泉郷	1	0.0026041666666666665	3.0	0.0078125
口永良部島	1	0.0026041666666666665	3.0	0.0078125
尾瀬	1	0.0026041666666666665	3.0	0.0078125
陸中	1	0.0026041666666666665	3.0	0.0078125
箱根	1	0.0026041666666666665	3.0	0.0078125
優美	1	0.0026041666666666665	3.0	0.0078125
海蝕	1	0.0026041666666666665	3.0	0.0078125
マングローブ	1	0.0026041666666666665	3.0	0.0078125
垂直	1	0.0026041666666666665	3.0	0.0078125
阿蘇	1	0.0026041666666666665	3.0	0.0078125
くじゅう	1	0.0026041666666666665	3.0	0.0078125
植生	1	0.0026041666666666665	3.0	0.0078125
礼文	1	0.0026041666666666665	3.0	0.0078125
西海	1	0.0026041666666666665	3.0	0.0078125
宮之浦岳	1	0.0026041666666666665	3.0	0.0078125
シイ	1	0.0026041666666666665	3.0	0.0078125
火口湖	1	0.0026041666666666665	3.0	0.0078125
磐梯	1	0.0026041666666666665	3.0	0.0078125
洞爺	1	0.0026041666666666665	3.0	0.0078125
隠岐	1	0.0026041666666666665	3.0	0.0078125
釧路	1	0.0026041666666666665	3.0	0.0078125
県	2	0.005208333333333333	1.431798275933005	0.007457282687151068
伊勢	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
発達	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
崖	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
りつ	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
大山	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
一帯	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
杉	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
山容	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
朝日	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
山岳	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
こうえん	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
見事	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
陸	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
多摩	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
貴重	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
座	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
アルプス	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
高原	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
西表	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
八幡平	1	0.0026041666666666665	2.6989700043360187	0.007028567719625048
現在	2	0.005208333333333333	1.3467874862246563	0.007014518157420085
外部	2	0.005208333333333333	1.3098039199714864	0.006821895416518158
リンク	2	0.005208333333333333	1.2839966563652008	0.006687482585235421
日光	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
東西	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
生物	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
樹齢	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
秩父	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
四国	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
甲斐	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
富士	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
小笠原	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
山頂	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
きり	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
吉野	1	0.0026041666666666665	2.5228787452803374	0.006569996732500878
人	2	0.005208333333333333	1.2596373105057561	0.00656061099221748
しま	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
始め	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
関東	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
生息	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
桜	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
東北	1	0.0026041666666666665	2.3979400086720375	0.006244635439250097
者	2	0.005208333333333333	1.1870866433571445	0.006182742934151794
都道府県	1	0.0026041666666666665	2.3010299956639813	0.005992265613708284
活発	1	0.0026041666666666665	2.3010299956639813	0.005992265613708284
箇所	1	0.0026041666666666665	2.3010299956639813	0.005992265613708284
分布	1	0.0026041666666666665	2.3010299956639813	0.005992265613708284
近畿	1	0.0026041666666666665	2.3010299956639813	0.005992265613708284
変化	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
帯	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
動物	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
北海道	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
編入	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
唯一	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
領域	1	0.0026041666666666665	2.221848749616356	0.0057860644521259275
島	1	0.0026041666666666665	2.154901959985743	0.005611723854129539
中国	1	0.0026041666666666665	2.0969100130080562	0.0054607031588751465
はじめ	1	0.0026041666666666665	1.958607314841775	0.005100539882400456
年間	1	0.0026041666666666665	1.958607314841775	0.005100539882400456
最初	1	0.0026041666666666665	1.9208187539523753	0.0050021321717509774
北	1	0.0026041666666666665	1.8860566476931633	0.004911605853367612
構成	1	0.0026041666666666665	1.853871964321762	0.004827791573754589
町	1	0.0026041666666666665	1.7958800173440752	0.0046767708785001956
学	1	0.0026041666666666665	1.7958800173440752	0.0046767708785001956
万	1	0.0026041666666666665	1.7695510786217261	0.0046082059339107445
活動	1	0.0026041666666666665	1.7212463990471711	0.0044824124975186746
一部	1	0.0026041666666666665	1.638272163982407	0.004266333760370851
利用	1	0.0026041666666666665	1.6020599913279625	0.004172031227416569
数	1	0.0026041666666666665	1.585026652029182	0.004127673572992661
世界	1	0.0026041666666666665	1.5686362358410126	0.004084990197502637
上	1	0.0026041666666666665	1.5228787452803376	0.003965830065834212
加筆	1	0.0026041666666666665	1.5086383061657274	0.003928745588973248
訂正	1	0.0026041666666666665	1.5086383061657274	0.003928745588973248
名	1	0.0026041666666666665	1.494850021680094	0.0038928385981252447
記事	1	0.0026041666666666665	1.4685210829577449	0.0038242736535357936
協力	1	0.0026041666666666665	1.4436974992327127	0.003759628904251856
項目	1	0.0026041666666666665	1.1426675035687315	0.002975696623876905
表示	1	0.0026041666666666665	1.1426675035687315	0.002975696623876905
目次	1	0.0026041666666666665	1.1426675035687315	0.002975696623876905
関連	1	0.0026041666666666665	1.1191864077192086	0.0029145479367687723
作成	1	0.0026041666666666665	1.00436480540245	0.0026155333474022135
カテゴリ	1	0.0026041666666666665	1.00436480540245	0.0026155333474022135
百科	1	0.0026041666666666665	1.0	0.0026041666666666665
移動	1	0.0026041666666666665	1.0	0.0026041666666666665
事典	1	0.0026041666666666665	1.0	0.0026041666666666665
フリー	1	0.0026041666666666665	1.0	0.0026041666666666665
検索	1	0.0026041666666666665	1.0	0.0026041666666666665
出典	1	0.0026041666666666665	1.0	0.0026041666666666665
