#語	出現回数	TF
弁当	18	0.0789473684
松花堂	16	0.0701754386
もの	5	0.0219298246
年	5	0.0219298246
貴志	5	0.0219298246
器	4	0.0175438596
料理	4	0.0175438596
項目	4	0.0175438596
箱	4	0.0175438596
仕切り	4	0.0175438596
日本	4	0.0175438596
者	3	0.0131578947
昭	3	0.0131578947
乗	3	0.0131578947
文化	3	0.0131578947
湯木	3	0.0131578947
昭和	3	0.0131578947
市	2	0.0087719298
名	2	0.0087719298
懐石	2	0.0087719298
茶	2	0.0087719298
様式	2	0.0087719298
吉兆	2	0.0087719298
八幡	2	0.0087719298
流れ	2	0.0087719298
の	2	0.0087719298
幕の内	2	0.0087719298
加筆	2	0.0087719298
十字形	2	0.0087719298
訂正	2	0.0087719298
江戸	2	0.0087719298
家	2	0.0087719298
協力	2	0.0087719298
食	2	0.0087719298
大阪	2	0.0087719298
時代	2	0.0087719298
縁	1	0.0043859649
盛り	1	0.0043859649
後世	1	0.0043859649
頃	1	0.0043859649
ため	1	0.0043859649
茶事	1	0.0043859649
分	1	0.0043859649
本膳	1	0.0043859649
コンセプト	1	0.0043859649
発展	1	0.0043859649
百科	1	0.0043859649
始め	1	0.0043859649
煙草	1	0.0043859649
ノート	1	0.0043859649
かぶせ蓋	1	0.0043859649
奈良	1	0.0043859649
中	1	0.0043859649
種	1	0.0043859649
見た目	1	0.0043859649
異説	1	0.0043859649
貞一	1	0.0043859649
移動	1	0.0043859649
依頼	1	0.0043859649
デザイン	1	0.0043859649
料亭	1	0.0043859649
ヒント	1	0.0043859649
誕生	1	0.0043859649
十字	1	0.0043859649
作成	1	0.0043859649
社	1	0.0043859649
茶室	1	0.0043859649
当主	1	0.0043859649
事典	1	0.0043859649
当時	1	0.0043859649
それぞれ	1	0.0043859649
上記	1	0.0043859649
農家	1	0.0043859649
焼き物	1	0.0043859649
都度	1	0.0043859649
フリー	1	0.0043859649
形	1	0.0043859649
記事	1	0.0043859649
数	1	0.0043859649
味	1	0.0043859649
百	1	0.0043859649
卿	1	0.0043859649
おかず	1	0.0043859649
使用	1	0.0043859649
内	1	0.0043859649
匂い	1	0.0043859649
検索	1	0.0043859649
代々	1	0.0043859649
事	1	0.0043859649
二	1	0.0043859649
創作	1	0.0043859649
折	1	0.0043859649
府	1	0.0043859649
見栄え	1	0.0043859649
これ	1	0.0043859649
初期	1	0.0043859649
他家	1	0.0043859649
美術館	1	0.0043859649
絵具	1	0.0043859649
カテゴリ	1	0.0043859649
誤解	1	0.0043859649
出典	1	0.0043859649
屈指	1	0.0043859649
煮物	1	0.0043859649
入れ物	1	0.0043859649
式部	1	0.0043859649
邸	1	0.0043859649
よう	1	0.0043859649
刺身	1	0.0043859649
源流	1	0.0043859649
挨拶	1	0.0043859649
宮家	1	0.0043859649
盆	1	0.0043859649
二郎	1	0.0043859649
それ	1	0.0043859649
泉	1	0.0043859649
入れ	1	0.0043859649
食品	1	0.0043859649
来客	1	0.0043859649
編集	1	0.0043859649
配置	1	0.0043859649
関連	1	0.0043859649
京都	1	0.0043859649
桜宮	1	0.0043859649
ごはん	1	0.0043859649
代	1	0.0043859649
僧	1	0.0043859649
話題	1	0.0043859649
数種類	1	0.0043859649
飯	1	0.0043859649
歴史	1	0.0043859649
混同	1	0.0043859649
松庵	1	0.0043859649
創始	1	0.0043859649
石清水八幡宮	1	0.0043859649
